namaGrup,namaProduk,pengeluaran,pendapatan,totalEfektivitasIklan,efektivitasIklan,performaTampil,tampilTeratas,tampil,klik,persentaseKlik,terjual,totTerjual,persentaseTerjual,rataRata
drink,Slivovitz,6439,384380,60,60,0,17,354,6,1.69,0,0,0,1073
fruit,Dwarf dangleberry,16931,320512,19,19,2,238,112,3,2.68,0,8,3,5644
spices,Chicory,6889,117499,17,17,0,219,482,8,1.66,0,0,0,861
dish,Caviar,1366,89570,66,66,0,158,429,9,2.1,0,0,0,152
dish,Fried Catfish,6138,173220,28,28,0,49,328,5,1.52,0,0,0,1228
drink,Pisco,2537,285067,112,112,0,5,540,3,0.56,0,0,0,846
fruit,Kakadu lime,12290,126719,10,10,0,23,338,0,0.0,0,0,0,0
vegetable,Garlic,16530,400750,24,24,1,209,413,10,2.42,0,5,0,1653
dish,Milk toast,18320,311183,17,17,1,160,276,6,2.17,0,6,1,3053
drink,Bobby Burns,14817,461540,31,31,0,172,658,6,0.91,0,0,0,2470
fruit,Tomatillo,11302,208149,18,18,0,154,500,8,1.6,0,0,0,1413
vegetable,Pumpkin,7080,135888,19,19,0,73,605,3,0.5,0,0,0,2360
vegetable,Artichoke,8641,178464,21,21,2,65,35,3,8.57,0,0,0,2880
vegetable,Baby Corn,12070,424449,35,35,0,118,245,10,4.08,0,0,0,1207
drink,Mojito,6489,466842,72,72,0,58,580,10,1.72,0,9,1,649
dish,Tuna casserole,3834,283822,74,74,0,269,676,5,0.74,0,0,0,767
vegetable,Hearts of Palm,17413,46345,3,3,0,62,550,0,0.0,0,0,0,0
fruit,Black apple,8437,227370,27,27,0,123,297,2,0.67,0,8,4,4218
spices,Angelica,18983,107065,6,6,1,93,147,10,6.8,0,0,0,1898
fruit,Giant granadilla,934,424780,455,455,0,132,459,3,0.65,0,0,0,311
fruit,Calamondin,147,96439,656,656,1,109,194,4,2.06,0,0,0,37
spices,Lime flower,16624,33393,2,2,0,211,655,0,0.0,0,1,0,0
dish,Buffalo burger,14965,479139,32,32,1,160,156,5,3.21,0,0,0,2993
drink,Wolfram,19351,439213,23,23,0,300,637,1,0.16,0,0,0,19351
vegetable,Green Leaf,17657,365142,21,21,1,124,216,3,1.39,0,0,0,5886
drink,RakÄ~+mn~,821,289154,352,352,0,96,386,3,0.78,0,0,0,274
drink,Barleywine,7150,149638,21,21,0,185,649,3,0.46,0,10,3,2383
vegetable,Curly,2521,190411,76,76,0,137,572,6,1.05,0,7,1,420
spices,Shiso,3939,260548,66,66,5,103,22,9,40.91,0,0,0,438
drink,Sidecar,1171,313001,267,267,0,135,288,3,1.04,0,0,0,390
fruit,Boquila,3025,283324,94,94,1,45,84,6,7.14,0,10,2,504
dish,Reuben,1213,137421,113,113,0,214,527,8,1.52,0,9,1,152
drink,Bacardi,12860,168434,13,13,9,272,29,1,3.45,0,9,9,12860
spices,Lesser calamint,3501,222328,64,64,1,285,291,1,0.34,0,0,0,3501
vegetable,Parsley Root,15611,59929,4,4,2,147,98,5,5.1,0,0,0,3122
spices,Paprika,7034,362791,52,52,36,254,7,3,42.86,0,0,0,2345
drink,Damn the Weather,10183,322679,32,32,0,47,286,2,0.7,0,0,0,5092
spices,Cilantro,1461,412005,282,282,0,108,675,1,0.15,0,0,0,1461
drink,Yorsh,9487,311920,33,33,0,177,491,7,1.43,0,0,0,1355
drink,Hurricane,19822,208167,11,11,0,172,548,5,0.91,0,9,2,3964
drink,Sour,3897,459076,118,118,0,172,398,8,2.01,0,0,0,487
dish,Fried Green Tomatoes,7381,174636,24,24,0,171,366,8,2.19,0,0,0,923
vegetable,Parsley,1459,342321,235,235,0,141,324,3,0.93,0,0,0,486
fruit,Blood orange,7473,255911,34,34,0,19,162,6,3.7,0,1,0,1246
vegetable,Red Leaf,18648,464510,25,25,0,111,384,0,0.0,0,0,0,0
fruit,Barbadine,494,384745,779,779,1,139,219,10,4.57,0,0,0,49
spices,Basil,9821,376606,38,38,1,141,132,8,6.06,0,0,0,1228
vegetable,Rutabagat,18001,329619,18,18,0,104,449,6,1.34,0,0,0,3000
vegetable,Artichoke,8255,459186,56,56,1,274,211,2,0.95,0,6,3,4128
spices,Jimbu,2315,125130,54,54,0,102,655,10,1.53,0,0,0,232
vegetable,Iceberg,6856,329144,48,48,1,291,362,0,0.0,0,6,0,0
fruit,Hackberry,101,136800,1354,1354,0,167,614,2,0.33,0,0,0,50
drink,Seven and Seven or 7 & 7,18789,210205,11,11,0,259,652,8,1.23,0,2,0,2349
drink,My Fair Lady,3520,181931,52,52,0,180,556,5,0.9,1,9,2,704
drink,Bloodhound,269,467708,1739,1739,0,131,552,4,0.72,0,0,0,67
drink,Earthquake,3726,150898,40,40,1,176,182,1,0.55,0,6,6,3726
dish,Macaroni and Cheese,12081,116622,10,10,0,217,643,3,0.47,0,0,0,4027
spices,Cassia,3374,307894,91,91,2,273,182,7,3.85,0,0,0,482
fruit,Dodder laurel,1938,80592,42,42,1,219,404,0,0.0,0,0,0,0
vegetable,Lotus Root,10986,492960,45,45,1,53,42,0,0.0,0,0,0,0
spices,Anise,4697,55961,12,12,2,265,119,10,8.4,0,5,0,470
vegetable,Red Leaf,13743,483251,35,35,0,78,546,10,1.83,0,0,0,1374
drink,Tiswin,11936,491731,41,41,1,258,211,3,1.42,0,5,2,3979
fruit,Berberis vulgaris,7484,170287,23,23,0,234,557,3,0.54,0,0,0,2495
drink,Singani,19177,248639,13,13,2,158,101,5,4.95,0,0,0,3835
drink,Flaming Dr Pepper,1169,78560,67,67,0,87,537,6,1.12,0,1,0,195
fruit,Damson plum,8729,73921,8,8,0,134,531,1,0.19,0,2,2,8729
spices,Clove,7911,39132,5,5,0,20,471,7,1.49,0,0,0,1130
vegetable,Artichoke,2598,165270,64,64,0,104,250,5,2.0,0,0,0,520
drink,Shrub,7064,261503,37,37,17,149,9,6,66.67,0,0,0,1177
spices,Asafoetida,17223,358089,21,21,0,110,541,6,1.11,0,0,0,2870
vegetable,Gherkin,12835,476069,37,37,0,85,501,6,1.2,0,9,2,2139
dish,Cowboy beans,273,73036,268,268,0,38,316,10,3.16,0,0,0,27
fruit,Dwarf dangleberry,3171,274852,87,87,0,290,680,2,0.29,0,0,0,1586
spices,Basil,4859,66472,14,14,1,249,369,1,0.27,0,0,0,4859
dish,Piroshky,18028,408544,23,23,1,222,440,9,2.05,0,0,0,2003
dish,Pork and beans,17178,162885,9,9,1,284,201,2,1.0,0,0,0,8589
drink,Port,12878,80909,6,6,0,150,347,0,0.0,0,0,0,0
dish,Pistachio Ice Cream,10802,462325,43,43,1,95,118,3,2.54,0,0,0,3601
drink,Champagne,3118,391688,126,126,0,18,166,7,4.22,0,6,1,445
drink,Yorsh,15491,239555,15,15,0,51,699,2,0.29,0,0,0,7746
spices,Lovage,1224,437336,357,357,1,236,241,9,3.73,0,2,0,136
spices,Parsley,916,183311,200,200,0,64,551,1,0.18,0,0,0,916
vegetable,Butterhead,18263,68299,4,4,0,177,452,2,0.44,0,3,2,9132
fruit,Bitter melon,3818,176381,46,46,0,130,425,5,1.18,0,0,0,764
vegetable,Squash,6884,128164,19,19,1,300,546,3,0.55,0,0,0,2295
fruit,Kaffir lime,12953,313088,24,24,1,102,125,8,6.4,0,0,0,1619
fruit,Bilberry,10418,434620,42,42,1,156,139,9,6.47,0,0,0,1158
fruit,Candlenut,19214,136713,7,7,9,264,31,2,6.45,0,0,0,9607
dish,Pumpkin pie,5253,51552,10,10,3,260,93,4,4.3,0,8,2,1313
spices,Asarabacca,5520,203194,37,37,1,128,181,9,4.97,0,0,0,613
fruit,Blood orange,9613,393512,41,41,1,80,151,5,3.31,0,3,1,1923
drink,Awamori,7348,195012,27,27,0,130,262,0,0.0,0,3,0,0
