No,namaGrup,namaProduk,pengeluaran,pendapatan,totalEfektivitasIklan,efektivitasIklan,performaTampil,tampilTeratas,tampil,klik,persentaseKlik,terjual,totTerjual,persentaseTerjual,rataRata
1,fruit,Foxberry,2130,80647,38,38,1,244,225,1,0.44,0,0,0,2130
2,drink,Culto A La Vida,17464,197112,11,11,0,63,466,9,1.93,0,0,0,1940
3,dish,Brisket,10618,317284,30,30,3,281,97,3,3.09,0,0,0,3539
4,dish,Popover,16313,478488,29,29,1,298,361,0,0.0,0,2,0,0
5,drink,Derby,13238,150226,11,11,4,268,67,1,1.49,0,0,0,13238
6,drink,Caribou Lou,15456,419817,27,27,1,216,332,10,3.01,0,5,0,1546
7,vegetable,Cassava,13530,63718,5,5,0,90,558,7,1.25,0,0,0,1933
8,fruit,Midyim,6829,474751,70,70,1,149,208,0,0.0,0,0,0,0
9,vegetable,Garlic,6914,459905,67,67,1,162,256,2,0.78,0,0,0,3457
10,spices,Saffron,741,86435,117,117,0,223,656,5,0.76,0,10,2,148
11,vegetable,Nopales,18901,437269,23,23,0,236,482,2,0.41,0,0,0,9450
12,spices,Lovage,19468,181179,9,9,0,97,391,5,1.28,0,0,0,3894
13,dish,Pumpkin pie,3128,85512,27,27,0,21,87,3,3.45,0,0,0,1043
14,vegetable,Chayote,2276,195393,86,86,1,289,310,9,2.9,0,0,0,253
15,drink,Vodka Sundowner,810,248682,307,307,1,295,390,8,2.05,0,0,0,101
16,drink,Leite de On̤a,1291,453919,352,352,0,43,646,9,1.39,0,3,0,143
17,spices,Ajwain,1714,495289,289,289,2,223,100,5,5.0,0,0,0,343
18,vegetable,Beans,981,33505,34,34,0,26,128,4,3.12,0,0,0,245
19,vegetable,Fiddlehead,18457,121503,7,7,0,133,543,7,1.29,0,0,0,2637
20,drink,Toddy,17999,113803,6,6,1,290,357,10,2.8,0,0,0,1800
21,fruit,Black apple,7717,226336,29,29,0,20,68,7,10.29,0,0,0,1102
22,fruit,Genip,5930,368555,62,62,4,298,74,4,5.41,0,0,0,1482
23,spices,Costmary,7652,318590,42,42,3,231,90,9,10.0,0,0,0,850
24,drink,Mudslide,17333,468758,27,27,0,134,485,5,1.03,0,0,0,3467
25,dish,Phaal,5591,64442,12,12,1,238,215,2,0.93,0,0,0,2796
26,dish,Elote,5378,492966,92,92,0,37,476,10,2.1,0,8,1,538
27,vegetable,Lettuce,11365,371560,33,33,1,207,180,6,3.33,0,0,0,1894
28,dish,Hawaiian Pizza,8732,413536,47,47,0,53,439,0,0.0,0,0,0,0
29,spices,Saffron,2369,105982,45,45,2,44,18,0,0.0,0,2,0,0
30,spices,Safflower,7982,423947,53,53,1,171,206,2,0.97,0,0,0,3991
31,vegetable,Kale,128,340933,2664,2664,2,137,65,9,13.85,0,8,1,14
32,dish,Steak sandwich,18852,358209,19,19,0,21,579,4,0.69,0,5,1,4713
33,vegetable,Sweet Potato,18303,317546,17,17,0,133,365,9,2.47,0,0,0,2034
34,dish,Chicken fried steak,19355,399289,21,21,1,64,66,4,6.06,0,9,2,4839
35,fruit,Durian,16790,150802,9,9,0,3,531,3,0.56,0,0,0,5597
36,fruit,Blackcurrant,12535,427127,34,34,1,258,255,9,3.53,0,0,0,1393
37,spices,Cilantro,13187,265405,20,20,0,53,319,5,1.57,0,0,0,2637
38,dish,Blue-plate special,4679,37997,8,8,0,211,670,8,1.19,2,4,0,585
39,dish,Cornish game hen,6793,249011,37,37,2,136,88,3,3.41,0,0,0,2264
40,vegetable,"Green, Red, Savoy",5042,447017,89,89,2,239,155,10,6.45,0,0,0,504
41,drink,Ruby Dutchess,8334,136084,16,16,0,158,380,3,0.79,0,0,0,2778
42,drink,Seven and Seven or 7 & 7,4688,319889,68,68,0,141,625,10,1.6,1,3,0,469
43,fruit,Gooseberry,17850,64950,4,4,0,38,452,7,1.55,0,0,0,2550
44,dish,Chicken Alfredo,14347,476398,33,33,1,286,353,10,2.83,0,0,0,1435
45,drink,Rickey,10762,449038,42,42,3,88,28,6,21.43,0,0,0,1794
46,spices,Bay leaf,10303,337260,33,33,0,169,517,4,0.77,0,0,0,2576
47,dish,Hokkien fried rice,2550,237955,93,93,0,39,193,3,1.55,0,0,0,850
48,dish,Pistachio Ice Cream,9657,310868,32,32,1,136,247,6,2.43,0,9,2,1610
49,vegetable,Mustard Greens,6101,244293,40,40,0,166,605,1,0.17,0,0,0,6101
50,dish,Mozzarella sticks,4085,174548,43,43,1,256,220,6,2.73,0,0,0,681
51,spices,Avocado leaf,2841,117576,41,41,4,253,63,9,14.29,0,1,0,316
52,spices,Chives,5930,437557,74,74,0,287,630,7,1.11,0,0,0,847
53,dish,Deviled crab,13086,109423,8,8,4,280,73,3,4.11,0,0,0,4362
54,vegetable,Potato,2155,76845,36,36,1,174,172,2,1.16,0,5,2,1078
55,spices,Peruvian pepper,3105,31013,10,10,2,222,91,5,5.49,0,0,0,621
56,vegetable,Bok Choy,18278,53066,3,3,10,218,21,3,14.29,0,0,0,6093
57,fruit,Calabash tree,11706,106001,9,9,0,177,519,0,0.0,0,5,0,0
58,spices,Saigon cinnamon,6017,268257,45,45,1,240,332,1,0.3,0,0,0,6017
59,vegetable,Nopales,7191,111738,16,16,0,292,647,10,1.55,0,6,1,719
60,drink,Kumis,8341,362239,43,43,0,62,382,5,1.31,0,0,0,1668
61,vegetable,Lotus Root,12593,378753,30,30,0,149,323,10,3.1,5,5,0,1259
62,spices,Coriander seed,17822,280066,16,16,1,66,71,8,11.27,0,0,0,2228
63,spices,Ajwain,160,94273,589,589,0,76,525,3,0.57,0,10,3,53
64,vegetable,Zucchini,2222,64168,29,29,0,91,334,4,1.2,0,0,0,556
65,dish,Tetrazzini,5848,387119,66,66,1,258,440,2,0.45,0,0,0,2924
66,dish,Sloppy joe,11576,234165,20,20,0,34,439,6,1.37,0,0,0,1929
67,fruit,Lawton blackberry,9667,79949,8,8,0,55,412,5,1.21,0,0,0,1933
68,fruit,European Raspberry,17113,491709,29,29,1,265,241,7,2.9,0,3,0,2445
69,fruit,Pentadiplandra,3548,41525,12,12,0,263,682,1,0.15,0,0,0,3548
70,spices,Caraway,3825,359861,94,94,0,238,566,4,0.71,0,0,0,956
71,dish,Blue-plate special,3057,87467,29,29,0,0,534,10,1.87,0,0,0,306
72,fruit,Cluster fig,6036,453822,75,75,1,165,326,4,1.23,0,0,0,1509
73,fruit,Karkalla,11606,182956,16,16,0,110,337,3,0.89,0,5,2,3869
74,dish,Pepperoni Pizza,16714,336844,20,20,1,42,38,6,15.79,0,0,0,2786
75,fruit,Fragaria,10487,411148,39,39,0,114,331,4,1.21,0,0,0,2622
76,dish,Poutine,3874,453139,117,117,0,105,367,4,1.09,2,6,2,968
77,dish,Kobe Beef,15875,301409,19,19,4,71,18,8,44.44,0,0,0,1984
78,dish,Choco pie,14300,37123,3,3,0,85,496,8,1.61,0,0,0,1788
79,drink,B & B,4461,176874,40,40,4,220,59,3,5.08,0,0,0,1487
80,spices,Jiaogulan,18319,379558,21,21,1,194,321,2,0.62,0,0,0,9160
81,spices,Paprika,16594,481303,29,29,1,131,212,5,2.36,0,0,0,3319
82,dish,Tres Leches Cake,3741,81060,22,22,1,269,185,8,4.32,0,0,0,468
83,drink,Daiquiri,15118,161431,11,11,3,77,30,9,30.0,0,0,0,1680
84,drink,Mezcal,17371,480930,28,28,1,216,168,5,2.98,0,0,0,3474
85,drink,Orange Tundra,11587,385326,33,33,0,150,689,7,1.02,0,0,0,1655
86,fruit,Eugenia uniflora,888,297837,335,335,1,219,276,3,1.09,0,0,0,296
87,spices,Avocado leaf,18412,138337,8,8,0,82,674,7,1.04,0,0,0,2630
88,dish,Hokkien fried rice,16700,99357,6,6,0,101,638,5,0.78,0,0,0,3340
89,vegetable,Baby Corn,406,455540,1122,1122,0,63,575,1,0.17,0,0,0,406
90,vegetable,Onion,15881,409930,26,26,0,109,538,1,0.19,0,0,0,15881
91,fruit,Berberis vulgaris,1020,165534,162,162,0,137,684,7,1.02,0,0,0,146
92,fruit,Desert fig,10254,348637,34,34,0,102,481,6,1.25,0,10,2,1709
93,fruit,Longan,9118,31799,3,3,1,233,419,7,1.67,0,0,0,1303
94,vegetable,Broccoli,14303,466660,33,33,0,121,313,3,0.96,0,0,0,4768
95,drink,Mead,1496,62689,42,42,0,160,369,10,2.71,0,2,0,150
96,fruit,Gooseberry,13579,139289,10,10,0,66,350,1,0.29,0,0,0,13579
97,drink,Rob Roy,11238,131261,12,12,0,15,37,9,24.32,0,0,0,1249
98,drink,Parakari,15401,496279,32,32,1,221,358,9,2.51,0,0,0,1711
99,vegetable,Amaranth Leaves,17769,112133,6,6,0,102,306,0,0.0,0,0,0,0
100,vegetable,Broccoli,9105,143904,16,16,0,124,673,8,1.19,0,0,0,1138
101,fruit,Doubah,5890,82258,14,14,2,240,139,10,7.19,0,6,1,589
102,drink,Shochu,17423,332950,19,19,0,22,63,10,15.87,0,1,0,1742
103,drink,Caipirinha,10911,142184,13,13,1,103,134,2,1.49,0,0,0,5456
104,vegetable,Aubergine,2879,135752,47,47,0,89,576,3,0.52,0,0,0,960
105,dish,Chili dog,13535,71245,5,5,1,130,172,4,2.33,0,0,0,3384
106,spices,Asarabacca,18585,149485,8,8,0,149,658,6,0.91,0,2,0,3098
107,fruit,Kakadu lime,6831,78542,11,11,1,96,119,5,4.2,0,0,0,1366
108,drink,Akvavit,12962,384895,30,30,0,204,470,3,0.64,0,0,0,4321
109,spices,Coriander seed,3923,446355,114,114,1,91,151,7,4.64,0,2,0,560
110,spices,Clove,17322,457750,26,26,4,241,58,10,17.24,0,0,0,1732
111,drink,Mild ale,17994,453257,25,25,0,10,240,6,2.5,0,0,0,2999
112,dish,Burnt ends,19712,249278,13,13,0,230,489,4,0.82,1,10,2,4928
113,fruit,White currant,19734,393516,20,20,0,202,460,10,2.17,0,0,0,1973
114,spices,Cudweed,16742,47664,3,3,1,236,221,10,4.52,0,2,0,1674
