namaGrup,namaProduk,pengeluaran,pendapatan,totalEfektivitasIklan,efektivitasIklan,performaTampil,tampilTeratas,tampil,klik,persentaseKlik,terjual,totTerjual,persentaseTerjual,rataRata
spices,Leptotes bicolor,7486,365607,49,49,0,172,387,2,0.52,0,0,0,3743
drink,Green Vesper,11790,368733,31,31,0,73,359,6,1.67,0,2,0,1965
vegetable,Baby Corn,546,201399,369,369,1,137,117,5,4.27,0,6,1,109
vegetable,Edamame,16177,469380,29,29,0,215,554,4,0.72,0,0,0,4044
vegetable,Snow peas,8035,39149,5,5,1,242,392,10,2.55,1,1,0,804
fruit,Jostaberry,8412,150777,18,18,0,1,449,8,1.78,0,0,0,1052
vegetable,Mushrooms,8705,497987,57,57,1,94,128,7,5.47,0,0,0,1244
vegetable,Garlic,9373,153908,16,16,0,90,521,2,0.38,0,0,0,4686
vegetable,Edamame,9118,459729,50,50,0,82,202,4,1.98,0,0,0,2280
fruit,Gac,4091,142821,35,35,36,254,7,8,114.29,0,0,0,511
dish,Chinese food,18730,185003,10,10,2,130,65,6,9.23,0,3,0,3122
drink,Vermouth,7019,209886,30,30,1,91,136,10,7.35,0,0,0,702
drink,Tom and Jerry,11471,133169,12,12,1,99,160,0,0.0,0,0,0,0
fruit,Goji,12492,359451,29,29,3,218,80,9,11.25,0,9,1,1388
dish,Steak sandwich,3931,478909,122,122,0,237,594,5,0.84,0,0,0,786
drink,Blue Blazer,6559,225332,34,34,1,285,415,3,0.72,0,0,0,2186
drink,Cosmopolitan,19381,319479,16,16,0,64,336,8,2.38,0,5,1,2423
fruit,Bog bilberry,2656,202834,76,76,0,58,291,9,3.09,0,0,0,295
spices,Blue fenugreek,12934,127054,10,10,0,128,557,4,0.72,0,8,2,3234
drink,My Fair Lady,16084,139327,9,9,0,59,187,2,1.07,0,3,2,8042
spices,Aniseed myrtle,7111,455238,64,64,0,148,513,4,0.78,0,3,1,1778
drink,Fish House Punch,758,125817,166,166,0,197,587,0,0.0,0,0,0,0
vegetable,Bok Choy,13985,384230,27,27,1,81,115,5,4.35,0,0,0,2797
fruit,Physalis,17846,102006,6,6,0,1,383,9,2.35,0,0,0,1983
drink,Palm wine,244,34750,142,142,2,204,129,10,7.75,0,0,0,24
vegetable,Amaranth Leaves,16403,490883,30,30,0,82,167,8,4.79,0,0,0,2050
spices,Dorrigo,14486,180769,12,12,3,120,36,2,5.56,0,0,0,7243
drink,Flirtini,11359,487985,43,43,5,292,61,6,9.84,0,0,0,1893
