namaGrup,namaProduk,pengeluaran,pendapatan,totalEfektivitasIklan,efektivitasIklan,performaTampil,tampilTeratas,tampil,klik,persentaseKlik,terjual,totTerjual,persentaseTerjual,rataRata
drink,Oatmeal Cookie,8266,162085,20,20,1,54,104,1,0.96,0,0,0,8266
spices,"Cicely, sweet cicely",5958,371682,62,62,0,16,90,4,4.44,0,0,0,1490
spices,Asafoetida,4398,469679,107,107,1,297,567,1,0.18,0,9,9,4398
vegetable,Chinese Broccoli,10218,155461,15,15,0,74,228,7,3.07,0,0,0,1460
spices,Clove,1670,429888,257,257,0,54,550,3,0.55,0,0,0,557
drink,Gin pahit,19687,267059,14,14,0,28,538,7,1.3,0,0,0,2812
fruit,Bitter melon,13917,217987,16,16,2,295,169,5,2.96,0,10,2,2783
fruit,Northern highbush blueberry,3678,341615,93,93,30,121,4,5,125.0,0,0,0,736
dish,Thousand Island dressing,17463,254128,15,15,0,262,691,8,1.16,0,0,0,2183
fruit,Limequat,13251,346216,26,26,0,113,418,2,0.48,0,7,4,6626
vegetable,Spinach,13149,448390,34,34,2,285,179,4,2.23,0,0,0,3287
vegetable,"Green, Red, Savoy",16931,81526,5,5,1,150,149,3,2.01,0,0,0,5644
vegetable,Lettuce,9091,330573,36,36,1,283,254,0,0.0,0,0,0,0
dish,Samosa,606,385232,636,636,0,222,558,8,1.43,0,0,0,76
vegetable,Cauliflower,16657,50506,3,3,0,200,616,7,1.14,0,0,0,2380
vegetable,Lettuce,7753,283530,37,37,0,96,267,10,3.75,0,0,0,775
spices,"Cicely, sweet cicely",14427,88777,6,6,0,17,215,2,0.93,0,0,0,7214
dish,Ice Cream Sundae,3600,324499,90,90,0,119,479,2,0.42,0,10,5,1800
drink,Rakia,15955,119329,7,7,24,145,6,1,16.67,0,6,6,15955
vegetable,Elephant Garlic,13212,395547,30,30,0,2,120,3,2.5,0,0,0,4404
spices,Caper,5012,457551,91,91,0,121,389,0,0.0,0,0,0,0
dish,Matzo Ball Soup,1243,389153,313,313,2,248,158,6,3.8,0,0,0,207
fruit,Boquila,12030,240782,20,20,0,134,427,8,1.87,0,8,1,1504
drink,Bourbon whiskey,5163,118152,23,23,0,31,453,2,0.44,0,0,0,2582
fruit,Black walnut,7138,496811,70,70,0,46,672,9,1.34,0,0,0,793
drink,Mai-Tai,17611,481486,27,27,0,244,682,2,0.29,0,0,0,8806
drink,Farnell,14917,92982,6,6,1,265,480,6,1.25,0,0,0,2486
vegetable,Chinese Broccoli,15887,367526,23,23,1,245,354,1,0.28,0,4,4,15887
vegetable,Bamboo Shoots,12986,397879,31,31,0,247,613,4,0.65,0,0,0,3246
fruit,Cloudberry,4346,167604,39,39,1,191,374,6,1.6,0,10,2,724
spices,Alligator pepper,5794,111522,19,19,0,235,501,1,0.2,0,3,3,5794
fruit,Karkalla,10826,224378,21,21,1,69,70,3,4.29,0,8,3,3609
drink,Daiquiri,18716,203911,11,11,0,136,495,1,0.2,0,10,10,18716
fruit,Kaffir lime,19635,298119,15,15,0,22,117,2,1.71,0,0,0,9818
spices,Cudweed,18344,480918,26,26,0,137,323,9,2.79,0,0,0,2038
vegetable,Squash,4346,431030,99,99,0,31,442,8,1.81,0,0,0,543
drink,Zombie,7929,164794,21,21,0,87,632,9,1.42,0,0,0,881
vegetable,Pickling Cucumbers,13562,34884,3,3,0,91,223,6,2.69,0,0,0,2260
fruit,Calamondin,6874,172038,25,25,0,123,446,4,0.9,0,0,0,1718
fruit,Cloudberry,19333,31194,2,2,0,38,376,3,0.8,0,0,0,6444
dish,Mission burrito,12571,352588,28,28,0,91,186,2,1.08,0,0,0,6286
vegetable,Romaine,19165,178970,9,9,0,155,603,9,1.49,0,0,0,2129
drink,Applejack,2737,68470,25,25,3,296,97,1,1.03,0,0,0,2737
vegetable,Turnip,183,425327,2324,2324,1,132,220,4,1.82,0,0,0,46
spices,Cassia,12440,51855,4,4,8,143,18,0,0.0,0,3,0,0
drink,John Collins,14011,254738,18,18,0,76,201,2,1.0,0,0,0,7006
spices,Leptotes bicolor,19651,247422,13,13,84,169,2,3,150.0,0,2,1,6550
fruit,Kabosu,4462,269058,60,60,0,57,408,10,2.45,0,0,0,446
fruit,Bolwarra,3827,274493,72,72,1,290,563,10,1.78,0,0,0,383
spices,Dorrigo,11564,280936,24,24,3,263,85,2,2.35,0,0,0,5782
fruit,Candlenut,11463,312450,27,27,1,164,269,8,2.97,0,10,1,1433
spices,Sage,5345,59537,11,11,1,33,39,10,25.64,0,0,0,534
fruit,Karonda,1243,435992,351,351,1,296,464,10,2.16,0,0,0,124
dish,Lobster Newberg,19202,211340,11,11,0,34,109,0,0.0,0,8,0,0
vegetable,Maize,2826,414971,147,147,4,278,72,0,0.0,0,0,0,0
spices,Perilla,14693,493395,34,34,0,16,122,8,6.56,0,0,0,1837
vegetable,Belgian Endive,5402,304873,56,56,0,208,462,6,1.3,0,0,0,900
drink,Blue Hawaii,6670,181797,27,27,0,96,270,3,1.11,0,0,0,2223
dish,Smelt,11451,331333,29,29,20,200,10,5,50.0,0,0,0,2290
fruit,Kepel,7628,304518,40,40,0,99,322,6,1.86,0,0,0,1271
spices,Curry plant,2920,454255,156,156,0,24,127,10,7.87,0,0,0,292
dish,Huevos Rancheros,11643,392285,34,34,0,114,248,1,0.4,0,0,0,11643
spices,Clary,18134,440994,24,24,0,91,183,6,3.28,0,0,0,3022
drink,Cosmopolitan,19637,447636,23,23,0,92,679,5,0.74,0,3,1,3927
drink,Sloe gin,5794,398773,69,69,1,222,319,9,2.82,0,0,0,644
spices,Caraway,8793,136581,16,16,0,107,605,7,1.16,0,0,0,1256
vegetable,Shallots,2514,463023,184,184,1,188,333,3,0.9,0,0,0,838
drink,Brooklyn,18644,313245,17,17,2,297,143,4,2.8,0,0,0,4661
fruit,Bilberry,18168,494428,27,27,1,296,430,2,0.47,0,6,3,9084
spices,Saffron,9237,361138,39,39,0,52,223,0,0.0,0,0,0,0
drink,Japanese whisky,15659,83820,5,5,0,128,513,6,1.17,0,7,1,2610
dish,Bookbinder Soup,6084,330937,54,54,0,80,261,6,2.3,0,0,0,1014
dish,Risotto,8570,54762,6,6,6,108,17,3,17.65,2,2,1,2857
drink,Bushwacker,5556,376053,68,68,1,148,288,8,2.78,0,0,0,694
drink,Table wine,17569,43162,2,2,1,290,336,6,1.79,0,9,2,2928
drink,Culto A La Vida,16465,342260,21,21,1,145,225,9,4.0,0,3,0,1829
dish,Fajita,10651,363483,34,34,2,211,110,9,8.18,0,0,0,1183
dish,Cheese balls,11573,393913,34,34,1,281,443,1,0.23,0,0,0,11573
fruit,Calamansi,776,159967,206,206,0,171,419,0,0.0,0,0,0,0
drink,Angel Face,10283,454434,44,44,0,2,459,0,0.0,0,2,0,0
dish,Tin Roof Ice Cream,15099,337405,22,22,1,235,257,8,3.11,0,0,0,1887
vegetable,Yuca,19226,268766,14,14,0,162,691,9,1.3,0,3,0,2136
dish,Juba,714,128941,181,181,3,189,56,6,10.71,0,0,0,119
fruit,Cowberry,15768,283941,18,18,0,80,507,2,0.39,0,0,0,7884
vegetable,Taro,13002,245528,19,19,0,221,590,5,0.85,0,4,1,2600
spices,Juniper berry,5201,39970,8,8,0,95,538,5,0.93,0,0,0,1040
drink,Buck's Fizz,18237,52229,3,3,1,260,282,4,1.42,0,0,0,4559
spices,Pandan leaf,15905,146467,9,9,0,3,645,3,0.47,0,0,0,5302
vegetable,Kai-lan,14197,483421,34,34,0,107,302,1,0.33,0,0,0,14197
fruit,Canistel,15924,214947,13,13,0,239,642,9,1.4,0,0,0,1769
fruit,Durian,6981,308972,44,44,0,141,502,5,1.0,0,0,0,1396
dish,Chinese food,5651,431825,76,76,0,6,231,2,0.87,0,0,0,2826
spices,Alexanders,2973,401294,135,135,1,224,441,1,0.23,0,0,0,2973
drink,John Collins,6514,100758,15,15,0,226,531,5,0.94,0,0,0,1303
spices,Saffron,4570,86760,19,19,1,256,383,2,0.52,0,0,0,2285
dish,Alice Springs Chicken,6858,236692,35,35,1,260,337,10,2.97,0,0,0,686
dish,Hoppin' John,13223,142398,11,11,1,195,309,6,1.94,0,0,0,2204
drink,London Fog,19546,345089,18,18,1,239,193,9,4.66,0,0,0,2172
drink,Mickey Slim,1961,78546,40,40,0,143,331,0,0.0,0,0,0,0
dish,Corned beef,14394,353419,25,25,1,143,103,8,7.77,1,2,0,1799
dish,Mini pizzas,13259,270629,20,20,1,244,281,4,1.42,0,10,2,3315
fruit,Goji,9811,98925,10,10,0,233,517,0,0.0,0,5,0,0
fruit,Blueberry,1114,374115,336,336,0,32,137,9,6.57,0,0,0,124
vegetable,Bok Choy,18783,428180,23,23,0,55,538,1,0.19,0,0,0,18783
vegetable,Bok Choy,18779,205821,11,11,1,280,468,2,0.43,0,0,0,9390
spices,Lime flower,2717,301893,111,111,1,235,370,6,1.62,0,0,0,453
fruit,Keule,5794,143160,25,25,1,205,232,8,3.45,0,0,0,724
drink,Vinsanto,12156,235323,19,19,0,12,699,9,1.29,0,0,0,1351
drink,Savoy Affair,4380,468883,107,107,1,251,286,3,1.05,0,0,0,1460
spices,Lime flower,18,402907,22384,22384,0,3,618,10,1.62,0,0,0,2
fruit,Bacupari,4230,414214,98,98,1,44,40,6,15.0,0,3,0,705
fruit,Amelanchier,18584,423673,23,23,7,300,45,9,20.0,0,4,0,2065
drink,Vinsanto,16366,368461,23,23,0,158,454,0,0.0,0,0,0,0
fruit,Bilberry,14404,98163,7,7,3,254,90,5,5.56,0,0,0,2881
spices,Curry leaf,5407,124173,23,23,0,136,294,8,2.72,0,1,0,676
dish,Vegemite on Toast,9348,373494,40,40,3,42,13,7,53.85,0,0,0,1335
dish,Corn flakes,15583,390922,25,25,0,137,484,7,1.45,0,0,0,2226
drink,Bay Breeze,2554,262451,103,103,0,136,613,0,0.0,0,0,0,0
