No,namaGrup,kataKunci,pengeluaran,pendapatan,totalEfektivitasIklan,efektivitasIklan,tampil,klik,persentaseKlik,terjual,totTerjual,rataRata,tampilTeratas
1,drink,Kir Royal,8267,285041,34,34,580,4,0.69,0,0,2067,235
2,vegetable,Water Spinach,15745,326494,21,21,192,7,3.65,0,5,2249,63
3,vegetable,Zucchini,13724,156089,11,11,85,8,9.41,0,6,1716,187
4,vegetable,Brussels Sprouts,18083,115384,6,6,135,9,6.67,0,0,2009,223
5,dish,Mozzarella sticks,4623,297798,64,64,402,2,0.5,0,0,2312,255
6,fruit,Durian,18004,103505,6,6,143,0,0.0,0,0,0,45
7,dish,Fries,6209,274460,44,44,492,3,0.61,0,0,2070,210
8,dish,Tres Leches Cake,18026,110051,6,6,496,4,0.81,0,0,4506,120
9,fruit,Bignay,14874,59267,4,4,609,7,1.15,0,0,2125,154
10,fruit,Cloudberry,4640,95698,21,21,203,0,0.0,0,0,0,268
11,spices,Aniseed myrtle,17078,219845,13,13,661,7,1.06,0,0,2440,200
12,dish,Bread,19920,269380,14,14,561,5,0.89,0,0,3984,219
13,dish,Chicago Deep Dish Pizza,5266,235655,45,45,3,1,33.33,0,0,5266,231
14,vegetable,Chayote,11294,136051,12,12,152,10,6.58,0,1,1129,244
15,fruit,Kandis,19038,374186,20,20,383,8,2.09,0,0,2380,72
16,spices,Jimbu,19234,338502,18,18,653,9,1.38,0,10,2137,216
17,vegetable,Candle Corn,14879,85933,6,6,72,1,1.39,0,0,14879,2
18,dish,New York-Style Pizza,12252,129151,11,11,526,10,1.9,0,0,1225,200
19,fruit,Lingonberry,5423,69209,13,13,508,5,0.98,0,0,1085,116
20,fruit,Melon pear,10835,159914,15,15,77,5,6.49,0,0,2167,146
21,vegetable,Turnip,12760,408545,32,32,128,4,3.12,0,0,3190,203
22,fruit,Raisin,10199,150139,15,15,665,2,0.3,0,9,5100,223
23,drink,Pink Gin,3334,269559,81,81,33,10,30.3,0,0,333,187
24,spices,Saigon cinnamon,8678,253746,29,29,83,10,12.05,0,5,868,41
25,drink,Tom Collins,5050,382361,76,76,410,8,1.95,0,0,631,106
26,drink,Blue Hawaii,5735,208739,36,36,96,2,2.08,0,7,2868,267
27,dish,Abalone,2401,289333,121,121,108,3,2.78,0,0,800,82
28,fruit,Partridgeberry,486,318142,655,655,390,1,0.26,0,0,486,194
29,dish,Liver and onions,9086,271759,30,30,453,8,1.77,0,0,1136,259
30,fruit,Bacupari,12693,79048,6,6,641,1,0.16,0,0,12693,173
31,fruit,Beach plum,4204,233428,56,56,569,8,1.41,0,0,526,175
32,vegetable,Romaine,11007,405804,37,37,160,8,5.0,0,0,1376,183
33,dish,Texas Toast,11829,359773,30,30,576,0,0.0,0,0,0,174
34,fruit,Northern highbush blueberry,9440,403567,43,43,684,9,1.32,0,0,1049,287
35,spices,Akudjura,13126,327106,25,25,314,4,1.27,0,0,3282,52
36,vegetable,Daikon Radish,4258,464247,109,109,502,10,1.99,0,0,426,203
37,vegetable,Watercress,12771,171847,13,13,661,9,1.36,0,0,1419,88
38,fruit,Cocoplum,19322,208107,11,11,625,1,0.16,0,4,19322,6
39,fruit,Barbadine,19774,167675,8,8,213,7,3.29,2,9,2825,158
